CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0045,0.93752047458277
C0001,C0091,0.9122654860538645
C0001,C0184,0.9007751374800901
C0002,C0159,0.9976922072052213
C0002,C0134,0.9466329743926577
C0002,C0178,0.9459218583060852
C0003,C0195,0.9720050956498878
C0003,C0031,0.9684861429748663
C0003,C0039,0.9465953898281534
C0004,C0148,0.9657682885060984
C0004,C0012,0.9515696083399189
C0004,C0113,0.9469409663090824
C0005,C0007,0.990431822922316
C0005,C0162,0.9244652230113095
C0005,C0197,0.9091691057747583
C0006,C0082,0.9598988727332248
C0006,C0108,0.9471345209071773
C0006,C0169,0.9113829272831635
C0007,C0005,0.990431822922316
C0007,C0163,0.9403960124255603
C0007,C0162,0.926478252290135
C0008,C0143,0.9450172829989628
C0008,C0093,0.9438473859056814
C0008,C0173,0.9299340661049067
C0009,C0198,0.8710384975871931
C0009,C0044,0.8514371939173269
C0009,C0111,0.8239389741069364
C0010,C0022,0.9483666868988747
C0010,C0056,0.9313194714702635
C0010,C0040,0.9186855329109582
C0011,C0027,0.9538483302615097
C0011,C0188,0.9505477569826912
C0011,C0099,0.9347886369415653
C0012,C0065,0.9632849673831057
C0012,C0148,0.9625271170887734
C0012,C0004,0.9515696083399189
C0013,C0156,0.9580978532648475
C0013,C0190,0.9505278858722305
C0013,C0099,0.9470061830040187
C0014,C0089,0.8556672455535903
C0014,C0172,0.8335676409086398
C0014,C0164,0.743980632453449
C0015,C0116,0.914452064575756
C0015,C0160,0.889197284162492
C0015,C0065,0.8516800287348282
C0016,C0117,0.9702243783150237
C0016,C0094,0.9645428254699462
C0016,C0098,0.9507581105361421
C0017,C0064,0.992561233502778
C0017,C0075,0.9807600233559249
C0017,C0057,0.9544304825998987
C0018,C0068,0.9524397499434858
C0018,C0035,0.9501606047813014
C0018,C0154,0.9373943539501031
C0019,C0070,0.9775539750697345
C0019,C0186,0.9317245199047491
C0019,C0064,0.9200822503270243
C0020,C0050,0.9089148389583492
C0020,C0026,0.8688670199723596
C0020,C0157,0.850666522501237
